Country,Amount,Date
"Brazil","40,974",2010
"Mexico","25,757",2010
"South Africa","15,940",2010
"Colombia","15,459",2010
"Russia","14,574",2010
"China","13,410",2010
"Pakistan","13,208",2010
"Venezuela","13,080",2010
"United States","12,996",2010
"Honduras","6,239",2010
"Guatemala","5,960",2010
"El Salvador","4,005",2010
"Bangladesh","3,988",2010
"Thailand","3,654",2010
"Ecuador","2,638",2010
"Dominican Republic","2,474",2010
"Ukraine","2,356",2010
"Jamaica","1,430",2010
"Kazakhstan","1,418",2010
"South Korea","1,251",2010
"Kyrgyzstan","1,072",2010
"Puerto Rico","983",2010
"Bolivia","884",2010
"Nicaragua","785",2010
"Lesotho","764",2010
"Panama","759",2010
"Sri Lanka","745",2010
"Paraguay","741",2010
"Germany","690",2010
"Haiti","689",2010
"Canada","554",2010
"Chile","541",2010
"Italy","529",2010
"Costa Rica","527",2010
"Trinidad and Tobago","472",2010
"Syria","463",2010
"Morocco","447",2010
"Poland","436",2010
"Spain","390",2010
"Moldova","267",2010
"Mongolia","239",2010
"Australia","229",2010
"Lithuania","219",2010
"Azerbaijan","206",2010
"Uruguay","205",2010
"Georgia","187",2010
"Belgium","180",2010
"Greece","176",2010
"Israel","158",2010
"Bulgaria","147",2010
"Tajikistan","143",2010
"Guyana","140",2010
"Hungary","133",2010
"Belize","129",2010
"Albania","127",2010
"Portugal","124",2010
"Serbia","123",2010
"Finland","118",2010
"Lebanon","95",2010
"The Bahamas","94",2010
"Sweden","91",2010
"Latvia","70",2010
"Estonia","70",2010
"Croatia","62",2010
"Bosnia and Herzegovina","56",2010
"Ireland","54",2010
"Austria","53",2010
"Switzerland","52",2010
"New Zealand","46",2010
"Armenia","44",2010
"Saint Lucia","44",2010
"Republic of Macedonia","40",2010
"Hong Kong","35",2010
"Mauritius","33",2010
"Barbados","31",2010
"Norway","29",2010
"Saint Vincent and the Grenadines","25",2010
"Saint Kitts and Nevis","20",2010
"Singapore","19",2010
"Slovenia","15",2010
"Dominica","15",2010
"Grenada","12",2010
"Bermuda","7",2010
"Antigua and Barbuda","6",2010
"Malta","4",2010
"Macau","4",2010
