Country,Amount,Date
"United States","90,750",2008
"South Africa","70,514",2008
"India","21,467",2008
"Mexico","14,078",2008
"France","10,277",2008
"Peru","7,560",2008
"Germany","7,292",2008
"Australia","6,382",2008
"Russia","6,208",2008
"Sweden","5,446",2008
"Thailand","4,641",2008
"Colombia","3,380",2008
"Argentina","3,367",2008
"Zimbabwe","3,186",2008
"Belgium","3,126",2008
"Philippines","2,585",2008
"Spain","2,437",2008
"Chile","2,233",2008
"Netherlands","1,920",2008
"Lesotho","1,878",2008
"Poland","1,611",2008
"Bolivia","1,596",2008
"Japan","1,582",2008
"Uganda","1,536",2008
"Kazakhstan","1,298",2008
"Israel","1,243",2008
"Sudan","1,189",2008
"New Zealand","1,130",2008
"Morocco","1,130",2008
"Turkey","1,071",2008
"Romania","1,016",2008
"Norway","944",2008
"Finland","915",2008
"Ukraine","880",2008
"Algeria","812",2008
"Kenya","735",2008
"Austria","693",2008
"Czech Republic","529",2008
"Canada","490",2008
"Senegal","416",2008
"Denmark","396",2008
"Guatemala","385",2008
"Mongolia","354",2008
"Ireland","348",2008
"Portugal","314",2008
"Moldova","306",2008
"Kyrgyzstan","303",2008
"Bulgaria","262",2008
"Belarus","240",2008
"Trinidad and Tobago","236",2008
"Greece","232",2008
"Hungary","214",2008
"Croatia","188",2008
"Oman","183",2008
"Lithuania","164",2008
"Estonia","160",2008
"Yemen","158",2008
"Syria","156",2008
"Slovakia","152",2008
"Serbia","123",2008
"Kuwait","120",2008
"The Bahamas","118",2008
"Hong Kong","105",2008
"Georgia","100",2008
"Latvia","100",2008
"Sierra Leone","79",2008
"Mauritius","69",2008
"Iceland","68",2008
"Slovenia","57",2008
"Luxembourg","57",2008
"Solomon Islands","56",2008
"Tajikistan","55",2008
"Mozambique","47",2008
"Albania","39",2008
"Bahrain","36",2008
"Saint Vincent and the Grenadines","36",2008
"Bosnia and Herzegovina","35",2008
"Cyprus","34",2008
"Grenada","31",2008
"Azerbaijan","25",2008
"Armenia","15",2008
"Maldives","9",2008
"Liechtenstein","3",2008
"Andorra","2",2008
