"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1778,,
"AUS","Australia","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1774,,
"AUS","Australia","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1771,,
"AUS","Australia","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1766,,
"AUS","Australia","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1755,,
"AUS","Australia","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1751,,
"AUS","Australia","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1739,,
"AUS","Australia","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1738,,
"AUS","Australia","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1733,,
"AUS","Australia","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1722,,
"AUS","Australia","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1683,,
"AUT","Austria","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1468,,
"AUT","Austria","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1468,,
"AUT","Austria","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1453,,
"AUT","Austria","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1443,,
"AUT","Austria","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1438,,
"AUT","Austria","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1420,,
"AUT","Austria","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1431,,
"AUT","Austria","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1421,,
"AUT","Austria","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1421,,
"AUT","Austria","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1430,,
"AUT","Austria","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1322,,
"AUT","Austria","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1552,,
"AUT","Austria","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1557,,
"AUT","Austria","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1535,,
"AUT","Austria","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1520,,
"AUT","Austria","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1510,,
"AUT","Austria","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1495,,
"AUT","Austria","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1507,,
"AUT","Austria","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1498,,
"AUT","Austria","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1502,,
"AUT","Austria","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1509,,
"AUT","Austria","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1400,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1432,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1443,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1440,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1436,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1434,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1431,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1435,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1441,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1445,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1442,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1360,,
"BEL","Belgium","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1574,,
"BEL","Belgium","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1590,,
"BEL","Belgium","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1587,,
"BEL","Belgium","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1586,,
"BEL","Belgium","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1582,,
"BEL","Belgium","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1575,,
"BEL","Belgium","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1574,,
"BEL","Belgium","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1578,,
"BEL","Belgium","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1580,,
"BEL","Belgium","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1576,,
"BEL","Belgium","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1481,,
"CAN","Canada","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1718,,
